"Why does it matter who marries who as long as youre happy....i find it so wrong to say ok u two can marry but you cant"," surprise"
"just watched BGT on catch up, aw i felt so sorry for holly"," sadness"
"@CocaBeenSlinky Exactly"," surprise"
"@martinhavlat aww that sounds sad"," sad"
"@niqa86 I miss you too, Mojokins! I go there, but not long enough to comment  Will do more this weekend!"," surprise"
"Doing my fieldwork databook. Slept awkwardly. Bones all sore."," pain"
"throat is reallyyyyy sore , i can barely talk"," surprise"
"@Clareies I'm 25 in december that's not good at all next big birthday is 30  after 21 it flys by for sure"," surprise"
"I'm SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway."," surprise"
"MY BEST FRIEND IN THE FUCKING WORLD IS MOVING AHHHHHHHHHHH wat am i 2 do im not a happy camper"," surprise"
"@JayHostDC went last year. I gotta go to my friend's party tonight though.  I can never win"," surprise"
"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try."," surprise"
"@jennyowenyoungs i can't believe you're coming near me! but to a place that i can't get into.  i love you, Jenny!"," surprise"
"please do not let me get obsessed, whatever or whoever is in charge of my actions  you've been doing such a bad job lately"," surprise"
"I am native, not french ! I hate this ! !  ! Trying to find animals in french, I SUCK, SOMEONE HELP PLEEEEEASE  ? Alone- Allison Iraheta ?"," surprise"
"a HUGE SPIDER just crawled past me.  HUGE.","neutral"
"Shit night. want john  where is he?"," surprise"
"@CrysOHara I think it's going to be a LONNNGG Weekend, but not the 3 day kind."," surprise"
"And Jenny is so gorgeous --' PFFFF i love her style, i want her outfits"," surprise"
"@Rozrad: That was a parking meter, not a streetlight, wasn't it?","neutral"
"@PatBrough I've been there.  The only place I have flown out of since moving up north. Really pretty area for flying, but very expensive"," surprise"
"Im calling into Radio Disney now.i made it through but me being the idiot i am cut it off by accident...now its just ringing and ringing"," surprise"
"I don't have MTV,@mtschopp. What am I going to DO?!! fmlllll"," surprise"
"it's ridiculously warm in bed","neutral"
"Just got caught in the down pour"," relief"
"heading to work","neutral"
"so we got our cap&amp;gowns today! senior year is coming to an end soo fayst!"," surprise"
"@AdidasGoddess19 HAHA Amen! Im sooo damn hungry... And I hate knowing my weekends gonna be shit, when its supposed to be great"," surprise"
"@DreamingMyth why not?","you can select more than one emotion"
"so tired.   only need to be here another 30 minutes.","neutral"
"@yesitsfiasco cool! ok yeah see i dont have the old files with separate vocals so im trying to punch em all up as one track(all i can do)"," surprise"
"infelizzzzmente, no alcool nesse fds"," surprise"
"@jdrydenUK Yeah, It's not available on Public market yet. but will be soon. looking forward. I'm sunburnt  arms are itching. boo hoo!!!!!!"," surprise"
"hanging out with Rex, missing Alabama and my Nanna already..."," sadness"
"Waiting at the car wash to see what they say about Amara.","anger"
"f*** that weather"," surprise"
"Nothing good at the five dollar sale.","neutral"
"@snuffdigital awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe"," surprise"
"Were at citibank I thought we were gonna go to grannys house but were no"," surprise"
"@Mitchelmusso: Am sad i got no money on my phone. Ahh well  lly Mitchel xx"," surprise"
"Today officialy fucking sucks. My mom is the biggest bitch ever. Text me"," surprise"
"Checkin out oramarecords.com. Got a fever and cnt sleep"," sadness"
"watching &quot;la rosa de guadalupe&quot; damm this episode is so true they are people that make fun of the people that are virgins"," surprise"
"Oh..I'm so borin'.. why not play the computer?? My mom's say: because your makin' task..!!"," surprise"
"also finally home with no friends or anyone.. kinda nice to sit in a quiet room.. do wish the gf was here tho..."," surprise"
"fuck everything"," surprise"
"@ZachyHxC54 haha it scared the shit out of me."," neutral"
"@jonasobsessedx ._.; Thanxxx ! Now with that message I just wanna leave !! )= ! BYE !"," surprise"
"@ragavin  is there anything Brian or I can do?","yes"
"@TattedHairGuy I'm sorry to hear about your uncle. I hope you're okay!","neutral"
"Freakin' frustrated why can't my coach realize that times are hard ain't nobody got the money to buy cookie dough for no new uniforms"," surprise"
"In children's hospital ER hoping Meredith does NOT have a broken elbow/arm","neutral"
"is wishing that i could be famous for acting and dancing"," surprise"
"@NikkiCSWS awwh. I was kinda hoping Jack would get the banana highlights back"," surprise"
"Everyone is working tonight! I'm bored"," bored"
"Is fighting a horrid headache with a large Vanilla Iced Coffee."," surprise"
"may have unintentionally snubbed someone due to my ineptness/shyness. feel badly"," anger"
"I slept entirely too long on my nap, but not long enough at the same time."," boredom"
"@vanriper so how's the new gphone?! I guess I should have signed up to go to google io after all"," surprise"
"@KRushtC that's because you've been avoiding me."," surprise"
"@kvagur  haha soooo party tonight???"," surprise"
"I am sad... Tanner wasn't invited to the Panthers development camp this year  Poor (other) Glassers. But Calla was, so good on him."," surprise"
"Dear On the Boards Theater: You are so loud above my head  stomp stomp ugh"," surprise"
"Last weekend in Dallas for awhile","happy"
"@marshallsheldon Probably not a good idea, its hard to tweet on the web, I miss Tweetdeck!  *cry*"," surprise"
"@RetroRewind awwww i cried...makes me cry  i love joey!"," sadness"
"awwww it ovber!!!"," surprise"
"I miss Bri. COME BACK FROM QUEENSLAND, BITCH! I have no one to sit next to in class.  and drama is no fun without you. COME BACK, BOOB!"," surprise"
"@TheMrsH I saw an all red Audi on the highway. I sped uo to it hoping it was you. My loss"," surprise"
"@ddlovato it's quite hard cause when you attempt to spread it, the cornbread falls apart..."," surprise"
"@mitchelmusso it wont work in the uk"," surprise"
"@tezi_soch hah nooo she is the obly one that can AUMFFF i hate nick because he is datin miley"," surprise"
"just watched terminator 2 and i cried, Its the one movie that makes me cry for some reason when arnie dies!  im lame!"," sadness"
"@mitchelmusso do you have an england saynow number? Because i cant call the us one"," surprise"
"The Bucket List was a very bad film choice this evening.  I may need therapy now"," anger"
"@Christe1 So sad. Your mom must be very shaken up. Peace and strength to her and the dear family that lost their little girl"," sadness"
"Bit disappointed with The Killers On Jonathan Ross  He's sexy as hell though"," surprise"
"@LMontt I went on a Disney Cruise when I was a kid, but the characters were on strike so there weren't any"," surprise"
"@donnyosmond Very excited as we have just booked tickets to Vegas (we live in the UK) can't believe the  price of the show tickets"," enthusiasm"
"@ghxststories boys r nothing but trouble...i love trouble"," surprise"
"HA! I'd give Kristen plenty of free hugs! *sigh* if only I could"," surprise"
"@KarolinePaixao EPIC moment! hahahha i swear.. i really wanna see it"," surprise"
"@bobbiepen yeah, I was always changing my hair color in High School.  I've pretty much worn everything LOL. Some good, some baaaaaaaad"," surprise"
"@deanm1987 Hey twit! Just watched poor Holly on Britains Got Talent  poor thing!! People are so mean - she only a 10 year old little girl!"," surprise"
"listening to music...feeling kind of down"," surprise"
"Head--&gt;ache."," surprise"
"@SarahKMetz wish you were sluttin it up w me  waaaaaaaaahhhh!!!"," surprise"
"@tinkfan that sounds interesting. wish my phone did java.."," surprise"
"@AdamSchwabe http://twitpic.com/67owu - Nice - I had tickets for tonight's game, but I'm staying home sick"," surprise"
"boredddddddd, work tomorrow..  and sunday. i hate clarks"," surprise"
"i really really hate biology , u______________________u","hate"
"@micheleamadesi *hug*"," surprise"
"@lonejohnny awwww  I'll be waiting then, hope it doesn't rain"," neutral"
"Damm it! I didn't get a pic of niamh with her 3D glasses on"," surprise"
"@Wossy @juleskaos good show ... And the killers rock ... But they cut em short"," surprise"
"got a surprising and sad news on a Friday  (clue:effect of global financial crisis) http://plurk.com/p/x2vyi"," surprise"
"Missing how it used to be"," surprise"
"@Kikirowr Hope you feel better soon.","@kikirowr i hope you will be"
"@BefiBeez i just posted it like 5 mintues after you got off"," neutral"
"I didn't get my q'doba today! sad"," surprise"
"Watching the Killers on JR. They are awesome. Too late though. They just cut the programme mid song. Twas my favourite too."," surprise"
"@maggit  i'll visit ny 'til september, no diggnation for me"," neutral"
"@LaurenConrad I can't belive you only have one episode to go  xx"," surprise"
"So lathargic... Definitely need today to rest. Sad bout havin to call out but mentally i needed to"," surprise"
"@yahyan  yahyan: @supremacii iaaaaaaaaaaaaan, i was just joking","supremacii: hahaha"
"Oh man, I feel sick. As in I might have contracted a cold... maybe from the kids' slobber on Thursday"," surprise"
"@Katizzle hehe yeah! but too late hun"," surprise"
"is so tired ive walked 6.05 kilometres today","neutral"
"@deviantlysweet so neat hearing U on kiddshow today wish I was there"," surprise"
"@mitchelmusso i wish i could call but i live in the uk and i don't have the cash to call"," surprise"
"Have a fantastic opening flower drummers!! From the ALL Asian cast and crew"," surprise"
"s, and be honet! only you and other 2 people follow me"," surprise"
"Still Wants To Dress Up"," surprise"
"@LaKia unfortunately noy   my life suck this year.","happy"
"@tropigalia I know, I stink at birthdays  sorry bra, hope you're having fun anyhow, in spite of me!"," surprise"
"The book bloggers panel is not listed anywhere in the program!   Be there tomorrow at 2pm in room 1E15.  #BEA09"," surprise"
"is rockin' a minivan til the STi is ready. I miss it already"," excitement"
"@QuEeN_AnGeL84 Awww i hope you feel better love...this weather is crazy..."," neutral"
"Omg guys my internet has been down the whole day  It's still not working  I'll try fix 2m"," surprise"
"I have ants in my apartment","neutral"
"@LilMissOpinion I just noticed that  They are so ridiculous"," surprise"
"@PHXPhoto No kidding there! Ugh ... One thing I know for sure - it won't be me showing the property this weekend"," surprise"
"@thesmartplanner I so wish I could go to your blogging bootcamp in Knoxville this coming week! I'm so close but yet so far."," surprise"
"Phone power is dying!"," surprise"
"@clouddancefest It was truly awful"," surprise"
"Come on, man, give me some slack!"," surprise"
"@spicesierra sorry to hear that","sorry"
